"Marca temporal","¿Ha realizado compras en Mercado Libre en los últimos 6 meses?","¿Considera que el proceso de compra en Mercado Libre es rápido?","¿El sistema de Mercado Envíos (logística) cumple con los tiempos de entrega prometidos?","¿La variedad de productos que ofrece Mercado Libre es satisfactoria?    ","Considera que los precios en Mercado Libre son competitivos en comparación con otras tiendas?","¿La información y descripción de los productos en la plataforma es clara?","Utilizas tarjetas de debito o crédito en tus compras de mercado libre?"
"2025/10/07 8:51:06 a.m. GMT-3","Si","Si","Siempre","Si","Si","No","Credito"
"2025/10/07 8:52:47 a.m. GMT-3","No","Si","Aveces","Si","No","Si","Debito"
"2025/10/07 8:53:30 a.m. GMT-3","No","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 8:57:32 a.m. GMT-3","Si","Si","Aveces","Si","No","Si","Debito"
"2025/10/07 8:58:00 a.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 8:59:31 a.m. GMT-3","No","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:00:20 a.m. GMT-3","Si","Si","Siempre","No","Si","No","Credito"
"2025/10/07 9:00:30 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:00:36 a.m. GMT-3","Si","Si","Aveces","Si","No","Si","Debito"
"2025/10/07 9:00:38 a.m. GMT-3","Si","Si","Siempre","Si","No","Si","Debito"
"2025/10/07 9:00:55 a.m. GMT-3","Si","Si","Siempre","Si","Si","No","Debito"
"2025/10/07 9:01:27 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:01:27 a.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 9:01:39 a.m. GMT-3","No","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 9:02:10 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:02:42 a.m. GMT-3","Si","Si","Aveces","No","Si","Si","Debito"
"2025/10/07 9:05:45 a.m. GMT-3","Si","Si","Siempre","Si","No","Si","Credito"
"2025/10/07 9:06:35 a.m. GMT-3","No","Si","Aveces","Si","No","No","Debito"
"2025/10/07 9:06:53 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:07:58 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Credito"
"2025/10/07 9:08:40 a.m. GMT-3","No","Si","Aveces","Si","No","Si","Credito"
"2025/10/07 9:08:53 a.m. GMT-3","No","No","Nunca","No","No","No","Credito"
"2025/10/07 9:09:16 a.m. GMT-3","Si","Si","Aveces","Si","No","Si","Credito"
"2025/10/07 9:09:50 a.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 9:10:28 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Credito"
"2025/10/07 9:12:05 a.m. GMT-3","No","Si","Aveces","Si","No","Si","Debito"
"2025/10/07 9:12:14 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:13:42 a.m. GMT-3","No","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 9:13:46 a.m. GMT-3","Si","Si","Aveces","No","Si","No","Debito"
"2025/10/07 9:15:07 a.m. GMT-3","Si","Si","Aveces","Si","Si","No","Debito"
"2025/10/07 9:15:21 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:15:36 a.m. GMT-3","No","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 9:18:01 a.m. GMT-3","No","Si","Siempre","Si","No","Si","Debito"
"2025/10/07 9:18:54 a.m. GMT-3","Si","Si","Siempre","Si","Si","No","Debito"
"2025/10/07 9:19:11 a.m. GMT-3","Si","Si","Siempre","Si","Si","No","Debito"
"2025/10/07 9:20:22 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Credito"
"2025/10/07 9:21:57 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:29:54 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 9:32:44 a.m. GMT-3","Si","No","Aveces","No","No","No","Debito"
